locu_id,foursquare_id
1dae3a8f02f730c3528d,4b694c01f964a520139e2be3
219c994dcc53f891ec26,506b6162e4b02bda7fc846ee
e06dd73a03f255a877de,4fcb5d2ee4b0928dc1d32f10
cf429074f6b45f0ad183,4c2d2315e116e21e1b1a8e60
be428df89cec53c29e96,43ed7e9ef964a5204e2f1fe3
5f315252d5a2c497aa54,4af73d00f964a520830722e3
a1b151935bf166cd41ae,4ff503ece4b054fba983af0e
e1d1499e736a8e2f4611,4bad33adf964a52096383be3
be6bac74a9d485892d9f,3fd66200f964a5206fe91ee3
5ee85b8720fe68b892cf,4aa5ae24f964a520254920e3
fc2674ad877664296cc7,4f32850319836c91c7dfc1be
2122d546f35897748101,50eede4ae4b04e0d0fd9dd44
22ff944ad55370c00c98,4af5d67bf964a52093fd21e3
e568dd1c6c56a06407e7,4a0fc2fbf964a52083761fe3
1d3a4b0b7c413c45b9b0,4e4cb697bd413c4cc66b8ec0
816cc9441f491d5c77dd,3fd66200f964a52057e51ee3
7afbbb5d419e24c1352c,4e1c771652b1c2b69f352f82
40804c0726835e705b24,4ed296320e61efa333ad8c6b
403d8b3abcf68a598b1b,4b70825df964a520e01e2de3
1e775603ae510e502067,4f32912719836c91c7e46106
9765f89b9f15df4eba8b,520961e311d2957a5d6f643c
6d9c0d4b1a6ffc903194,506755d4e4b05564fbaf3c44
ef776284a8196e0aed01,4d56fb0da747b60c62a62f2b
2b02c737979dd30050b3,4db38ff10437fa536a18a623
f1400fcb53b34082ba46,4f43516b19834bc91f55edd7
d89275263ffb1c01145d,40ede000f964a5203c0a1fe3
4704d5bb6bfb1b9a3bb2,4e4c4df0bd413c4cc6685d62
fd02bb3b23be2c34ddb9,5039761de4b0f3363ccf3449
0589ed2093a0f6663db6,4eb5fe456c2590eb885238c8
ddc8fff24bf02c7c91b2,4b0c8ce0f964a520243f23e3
46c478f6cfb8e9aa6288,4bb3e8d249bdc9b607480c10
32746c0baf918ca5af95,4f321e9419836c91c7b7e3ae
29c2699049b9aab452ec,3fd66200f964a520bce41ee3
214d487cd48b3575c0c7,4bf69897004ed13a65b342a0
612a0d8004ac94ad4abc,4b17e419f964a52051c923e3
e9f7d177a35de4a21421,5029935fe4b0be6a06a0383e
ad3c6ccbf68b1fc8ae90,4f32036f19833175d609b8ee
757acdddc305f3603853,4f946d98e4b04c0c9fd3358b
d8ec03cf818626ee599f,4bda320cc79cc928c4017ee9
d6630edfc2157fb39f44,4f9dcacde4b09fef549cbb5e
284b7ad91a8d7f62660c,51fc4c06498ea67cd3f75a8a
22019cba8af673fb06bb,4e4c3bc4bd413c4cc667d7c6
c170270283ef870d546b,51eb7eed498e401ec51196b6
8bb5f17f312b71829c10,423e0e80f964a52044201fe3
53626df4972129877165,4f4487ee19836ed00194b706
53ce47f44e852dfa7eb9,51177ad1e4b03dc119d32722
063c03b6ee49cbe61a30,5019b64ee4b0056e4fb3ebda
458a7b93f735964729ce,3fd66200f964a52090e31ee3
8730c7da1759ee4c099a,5134fe3a5d2462254ac005d7
03f3218143769b1b1ba2,50d0ff3be4b0faa0056674db
8c709f7fb50211f8099d,44c23335f964a520c0351fe3
963046dd60f8c6afc006,3fd66200f964a520a6e31ee3
496bd5b462f08383d880,3fd66200f964a5209eea1ee3
3eae1bd69dd33ee6e8b3,4b5203eff964a520756127e3
b0018e0e7deeac3a81e9,4a82e62cf964a52081f91fe3
271050fdefabf58c6527,51cccb22498ec9783252cb87
e58f6294a18aca11e5ae,4bf82d4e4a67c928beef24cf
00fd88e4808694fa1e89,4c37b5f6ae2da593a56affc5
8c8d4da92dff0657702d,4bad4975f964a5202e423be3
c3239d2bf8a6eaf2ba43,4c88341f94f5a093ce2ace1e
a108d1530c7b71ed68b2,4a6f8d47f964a5207ed61fe3
146ef869ece0c4c28400,4edfc845a17c9ecccf057c16
959303d62e27a41f3e5e,4cd453e4b97060fcdf48f07b
499046b20c7a266b8f7c,4f32406819836c91c7c52b7b
c23922cb87fbfcaa6637,4a85ffcdf964a520060020e3
1a00f12a411841bc00d9,4a4e8b79f964a520a7ae1fe3
1d2cfd018c467366d361,4b849516f964a520d33c31e3
c4bb3162177759f61bbf,5117a2fae4b0f8326f68a263
73b35f26fd6ce07c5882,4a7655b0f964a520dce21fe3
825acefd3e298274a150,4f9ab1dbd4f2465542bc673f
6cd2d3d0329a22c882e8,4c82d021dc018cfabe5bd36c
a33943b13a08ffd5aa9b,42699000f964a52047211fe3
68e7ae418b15c52be1bc,4e4e4a59bd4101d0d7a6f4ba
c1bfc1be43779d453a5f,51aa70b5498eb91d32bc1654
1a88be06258656dfdfc0,4da90dff6a2303012eec2c8a
c69337422f43b2ac953a,4b78903ef964a5200cd72ee3
97a3ff139e7b54c28df7,505c97d5e4b0b4bf4491483a
b8db2f78bf4def964a83,3fd66200f964a520aae61ee3
cfa895df13cf3a0d5a6f,4a3ac46cf964a52035a01fe3
6c751a25cacd29e562bf,4a5a7c30f964a5206aba1fe3
2d14b78399a4e163288c,4ee6366b77c8e89319c7e4b8
2ba120e7bd5e5b1b63a0,4ca5226d76d3a0933964f56a
5d621f7dba662c3bd64c,4f43ee7419836ed001914ac6
ed177dfdbd3a3dc9583f,4b70ae7ef964a5206d292de3
752b5761410a12ae2b43,4ab7fa70f964a520b17b20e3
37a7843c5e6013033e4e,49edce5cf964a520f8671fe3
6ac91f7f00e158eb25f8,4be08704854f9521f6992ba5
